,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-12-10,-0.015283071036112816,-0.01912976590126625,-0.024094394848543144,-0.015218070053849786,-0.03293128699336145
2015-12-11,-0.03794699591915829,-0.039922645710885885,-0.029291162766379886,-0.037526287148231696,-0.032868455245003037
2015-12-14,-0.030653059808344207,-0.033857793388091695,-0.03136850538223501,-0.03041424471062648,-0.037604635054489965
2015-12-15,-0.02474801904464119,-0.02584381677028791,-0.027550943030908992,-0.024612641796183166,-0.0362398863075164
2015-12-16,-0.010246563798511965,-0.011474169804603918,-0.019846071535816967,-0.010263436680389981,-0.03108544802229196
2015-12-17,-0.024661602069142474,-0.0262043783350967,-0.024375117038355043,-0.024440896485286023,-0.03161290697698527
2015-12-18,-0.043370734190182114,-0.04421835097792648,-0.03263820295297659,-0.04292922543259081,-0.036342733142807226
2015-12-21,-0.03274423615584643,-0.03496749472095706,-0.027944464227035892,-0.032400682687871774,-0.03291961397968535
2015-12-22,-0.026386078568625626,-0.02741735521602262,-0.025461138481312706,-0.026162542557618962,-0.0328725156220967
2015-12-23,-0.019156740577741638,-0.017784643138749057,-0.021152427508547178,-0.019063299701939096,-0.031559203416345105
2015-12-24,-0.019330719124441398,-0.018682386929345096,-0.019878769967075938,-0.019184513084492427,-0.029199749777659822
2015-12-28,-0.019853370136854398,-0.020064802494610512,-0.020063639522798105,-0.01967668925327104,-0.028599394264517963
2015-12-29,-0.004436309866378996,-0.007129206555581913,-0.020301290916378667,-0.004554868820841551,-0.032897339106953916
2015-12-30,-0.013407937127358105,-0.015121467751057938,-0.024859056164451054,-0.013449982326023013,-0.036495113850905425
2015-12-31,-0.025689162860587755,-0.02617745723273035,-0.028957004932274488,-0.02557368096874313,-0.038402193978646415
2016-01-04,-0.04624467092337048,-0.043256875808888595,-0.03429944102668547,-0.04587044720834699,-0.04057339857059239
2016-01-05,-0.04789982784565283,-0.0432779681495864,-0.0348778346505656,-0.047544297589820705,-0.041996228129600466
2016-01-06,-0.05704564826502556,-0.05390726393754419,-0.03698043002874185,-0.05649139277197379,-0.040241691096547405
2016-01-07,-0.08657271205155548,-0.08006889543132989,-0.05015143751369444,-0.0857407574009067,-0.04957847757555267
2016-01-08,-0.09406344708587733,-0.08888984794447319,-0.05470556048183939,-0.09313245543448512,-0.05187620037477103
2016-01-11,-0.09127599886541948,-0.08703715279940538,-0.0582820547894467,-0.09046158440843344,-0.05719775244810865
2016-01-12,-0.08073699086505337,-0.07805991984175564,-0.048289338328238784,-0.07989153166548202,-0.04626857551076302
2016-01-13,-0.11244193412350978,-0.10545546640604186,-0.058778685736482594,-0.11124039641963734,-0.05169784550747658
2016-01-14,-0.0935412252968526,-0.08858787785360056,-0.05303169590544132,-0.0925702438140027,-0.04965412973057082
2016-01-15,-0.12167445766730667,-0.11251369668516131,-0.059324285019055956,-0.1203344793342569,-0.05057576617016124
2016-01-19,-0.11975833292497495,-0.11095501432600163,-0.05974008128584174,-0.1184591286731348,-0.0516404037975311
2016-01-20,-0.12245829111146322,-0.11801502867436264,-0.06300951985474934,-0.12105786578511779,-0.05152546231647015
2016-01-21,-0.12158739685672548,-0.1151070375723614,-0.06240442439669325,-0.1202462135835205,-0.052723586030510194
