,Max Sharpe Portfolio,Min Volatility Portfolio
2018-03-19,-0.038112063287643605,-0.038769321903384
2018-03-20,-0.03501246024659166,-0.040175832475366824
2018-03-21,-0.03916361915888711,-0.04042085648042848
2018-03-22,-0.06257094234681848,-0.04586621809992142
2018-03-23,-0.08704743516154378,-0.055348207281403106
2018-03-26,-0.05347717688218312,-0.04579744294520938
2018-03-27,-0.08371793581454012,-0.04741839707083373
2018-03-28,-0.09413226582300227,-0.04729235641201279
2018-03-29,-0.07765877814778066,-0.03928485288526862
2018-04-02,-0.10400073048415404,-0.04750380706899204
2018-04-03,-0.0940746685706475,-0.04612200530077615
2018-04-04,-0.07994176433945899,-0.04264984553250939
2018-04-05,-0.07481104858324195,-0.04323136336532518
2018-04-06,-0.09765144296157213,-0.04696331602443582
2018-04-09,-0.0913607585369891,-0.04399222010939319
2018-04-10,-0.0715188926600554,-0.03815670751486644
2018-04-11,-0.07679457585182592,-0.038517873175525796
2018-04-12,-0.06584621825707582,-0.03887900521960108
2018-04-13,-0.07061759218023322,-0.038905917268658774
2018-04-16,-0.06359617644563065,-0.03520295256054107
2018-04-17,-0.04361048373575105,-0.029122125361308093
2018-04-18,-0.041742830478596726,-0.03309784104574387
2018-04-19,-0.05053986044082748,-0.039858084580905784
2018-04-20,-0.06548581581830759,-0.0473336700071052
2018-04-23,-0.06782083343311418,-0.04726734048037573
2018-04-24,-0.08742204469173964,-0.055409891685037405
2018-04-25,-0.08639387586265712,-0.057871085430067026
2018-04-26,-0.06728640969073862,-0.04993035637256982
2018-04-27,-0.06664882797202198,-0.04547618753169003
2018-04-30,-0.07319457687936604,-0.047819297109596426
2018-05-01,-0.06273436983453184,-0.04894904454138971
2018-05-02,-0.06822047957538713,-0.05237809181441411
2018-05-03,-0.06829695552668025,-0.05095707278734385
2018-05-04,-0.05077417227184977,-0.0446676071943769
2018-05-07,-0.04297686680154955,-0.04406203517991891
2018-05-08,-0.043954156055192706,-0.04455336060868098
2018-05-09,-0.03368507948131416,-0.043592463813002746
2018-05-10,-0.023691236031823104,-0.03533543956603913
2018-05-11,-0.02457761292337224,-0.032679904176634134
2018-05-14,-0.022972699225731086,-0.03530161222380124
2018-05-15,-0.033793549181651006,-0.044351955432519574
2018-05-16,-0.027500265453034634,-0.044584721620873236
2018-05-17,-0.031249468689574567,-0.04762081577020438
2018-05-18,-0.036130821106891364,-0.044151066266489014
2018-05-21,-0.030764610080080246,-0.04067412818982452
2018-05-22,-0.03203409559183312,-0.04267787239370313
2018-05-23,-0.023875577575511175,-0.03764728681999241
2018-05-24,-0.024089831701602393,-0.03427948257812341
2018-05-25,-0.023066262379731306,-0.031974274004326175
2018-05-29,-0.027149422379788013,-0.0251988289021845
2018-05-30,-0.020303818418279107,-0.023019178513353444
2018-05-31,-0.02095000392980284,-0.026574510104961813
2018-06-01,-0.005774581598775419,-0.02514624533608878
2018-06-04,0.0,-0.026974813020640864
2018-06-05,0.0,-0.02539273938201647
2018-06-06,0.0,-0.026129578053932456
2018-06-07,-0.007960211986869803,-0.02096711753354885
2018-06-08,-0.007929777465101484,-0.021306342543688128
2018-06-11,-0.005299230355294338,-0.021720206513867746
2018-06-12,-0.0001163834951083409,-0.02101370849884443
2018-06-13,-0.0001792473865146471,-0.022676700152773233
2018-06-14,0.0,-0.017077549439507678
2018-06-15,-0.0034483867674315327,-0.01714255528168307
2018-06-18,-0.004028505127095072,-0.0185403799731797
2018-06-19,-0.0067702954102106805,-0.017056261398698314
2018-06-20,0.0,-0.0210677498509243
2018-06-21,-0.008557182318091328,-0.020964000785648307
2018-06-22,-0.010734960398635529,-0.020217598615864474
2018-06-25,-0.03278961587924811,-0.024969976891852874
2018-06-26,-0.02886406111554085,-0.023244144918030618
2018-06-27,-0.04185942823945532,-0.021769464865102672
2018-06-28,-0.03369417061610036,-0.019134887546926826
