,Strategy A,Strategy B,Strategy C
2023-12-06,-0.03443994920095195,-0.02557329677004727,-0.1401403228720869
2023-12-07,-0.020948937513318833,-0.015048174931486025,-0.13817673464707947
2023-12-08,-0.01658564665957052,-0.010736165260861963,-0.13877463890014474
2023-12-11,-0.008185102135535027,-0.004586992184486438,-0.13749346056189404
2023-12-12,-0.0002860397681477833,0.0,-0.134105996556923
2023-12-13,0.0,0.0,-0.11881522624096219
2023-12-14,-0.0008669939130154791,0.0,-0.10794942741725211
2023-12-15,0.0,0.0,-0.10843445735667345
2023-12-18,0.0,0.0,-0.10826675023835697
2023-12-19,0.0,0.0,-0.10309141661582522
2023-12-20,-0.014859602067864297,-0.014358458764533677,-0.10811795867858909
2023-12-21,-0.0033971603731051125,-0.003951416993277501,-0.10530131399220877
2023-12-22,-0.0019061386851871864,-0.0022054544756532346,-0.10585029335094398
2023-12-26,0.0,0.0,-0.10256808520054594
2023-12-27,0.0,0.0,-0.09523366419414336
2023-12-28,-0.0004860381889079113,-5.415470967695679e-05,-0.09765700635975483
2023-12-29,-0.004811733024943532,-0.00366534859027412,-0.1024800744569454
2024-01-02,-0.02165264846143089,-0.014883442327534802,-0.10756333575773802
2024-01-03,-0.03200502164386454,-0.02411799929651237,-0.1104474562430765
2024-01-04,-0.03698680046705893,-0.02820088722944658,-0.11757317892207864
2024-01-05,-0.035844453064769466,-0.026958995663488028,-0.12022455925146813
2024-01-08,-0.015917337771991558,-0.009958036644229895,-0.10921682795604937
2024-01-09,-0.01397326009176747,-0.009731121502766782,-0.11229936129109608
2024-01-10,-0.0072904226828031105,-0.0035750990345977396,-0.11094097750489806
2024-01-11,-0.005224797917648405,-0.0027579631629410795,-0.10917914364621073
2024-01-12,-0.00471458544748804,-0.0021568556885122048,-0.1095091238841921
2024-01-16,-0.004811733024943532,-0.004037202405812623,-0.11774422447355792
2024-01-17,-0.010425346478636799,-0.00961427650391622,-0.12124482752385679
2024-01-18,0.0,0.0,-0.11982355653757926
2024-01-19,0.0,0.0,-0.11211391738626486
2024-01-22,0.0,0.0,-0.10887379553036647
2024-01-23,0.0,0.0,-0.11013893225064542
2024-01-24,0.0,0.0,-0.11164012947024815
2024-01-25,0.0,0.0,-0.1064190567248392
2024-01-26,-0.005957629162275602,-0.0036140200915809606,-0.10778490745430824
2024-01-29,0.0,0.0,-0.09943546040072093
2024-01-30,-0.00665652251464921,-0.003715002868928452,-0.09658770072866107
2024-01-31,-0.026112196014572042,-0.021599986719379016,-0.10188362025490516
2024-02-01,-0.014644320669883526,-0.009436741920923808,-0.08778383897564923
2024-02-02,0.0,0.0,-0.09008189711313375
2024-02-05,-0.0013051313394627506,-0.002473147739660453,-0.0994195761090042
2024-02-06,-0.0033097796636716303,-0.002026236740969134,-0.09432991402924085
2024-02-07,0.0,0.0,-0.091550986509495
2024-02-08,0.0,0.0,-0.09342302350685394
2024-02-09,0.0,0.0,-0.09101206227552183
2024-02-12,-0.003912638844179583,-0.002175796265124319,-0.09082521864886828
2024-02-13,-0.019448540726801355,-0.01682885186660754,-0.10457004797488534
2024-02-14,-0.008763287470522019,-0.007004614774170026,-0.09786484863635247
2024-02-15,-0.005811631519221039,-0.002100433295998294,-0.0922639452112124
2024-02-16,-0.014826774969685985,-0.009109561201427585,-0.09707767957397873
2024-02-20,-0.022262852819267098,-0.015576811885367747,-0.0997489330030954
2024-02-21,-0.02617556234994134,-0.017100686002289756,-0.10181944990482494
2024-02-22,0.0,0.0,-0.0889126634432843
2024-02-23,-0.0029447129370331337,-0.00112754854793784,-0.08365709983413083
2024-02-26,-0.003469748568229125,-0.0032197255688725113,-0.08676414525083664
2024-02-27,-0.0010727087959866433,-0.001095022526421019,-0.0883222186809638
2024-02-28,-0.006391753449755955,-0.0044146161274757345,-0.0867300133355714
2024-02-29,0.0,0.0,-0.08218194733672557
2024-03-01,0.0,0.0,-0.0747244513269324
2024-03-04,-0.003568067618160864,-0.002320261787047251,-0.07680857217004788
2024-03-05,-0.02145367730875125,-0.01625968897830854,-0.07708525919840103
2024-03-06,-0.015304920516797993,-0.010676579819120513,-0.07211298405855326
2024-03-07,-0.000358983681009728,0.0,-0.06693467273691323
2024-03-08,-0.01478863015903864,-0.010218421208772144,-0.07095639692753952
2024-03-11,-0.018446547690406767,-0.012481461213710188,-0.0716298669217661
2024-03-12,-0.004375815564750418,-9.178950201871316e-05,-0.06874277374595672
2024-03-13,-0.012028379816104495,-0.004718216846036016,-0.07142455725354213
2024-03-14,-0.014519288405326347,-0.006956616320242359,-0.0782299151247694
2024-03-15,-0.026233609497024912,-0.016268110998236218,-0.08214648563860305
2024-03-18,-0.016946345320115852,-0.00865372242667406,-0.07997969423662543
2024-03-19,-0.014497033912934554,-0.00466418417008041,-0.07587944268542346
2024-03-20,-0.0028123161491213633,0.0,-0.07087032532039927
2024-03-21,0.0,0.0,-0.06822783775509511
2024-03-22,0.0,-0.0003760397227077217,-0.06572426987589952
2024-03-25,-0.003629229187606442,-0.003570828345576982,-0.06914201885271498
2024-03-26,-0.006855156929534534,-0.006103987841281078,-0.06913826906509246
2024-03-27,-0.003472539491402138,-0.00023527816186630357,-0.06075176200629817
2024-03-28,-0.0053095482014691164,-0.001252256911550953,-0.06117686302951997
2024-04-01,-0.0032034645080212254,-0.0010637420957386734,-0.06915706765268415
2024-04-02,-0.011806261035495647,-0.008550063197360847,-0.07476003893621863
2024-04-03,-0.0095882758783713,-0.006892780738513293,-0.07423053659311374
2024-04-04,-0.024732435237114436,-0.020546472156628304,-0.07835455978836214
2024-04-05,-0.013239899182241555,-0.00965939268887439,-0.07770890983996692
2024-04-08,-0.012948637435525434,-0.00923630257065633,-0.07743980856128674
2024-04-09,-0.00929715236694062,-0.006830589389258623,-0.07336666012267845
2024-04-10,-0.017944391538728954,-0.016137374351350986,-0.08701163794884981
2024-04-11,-0.002262704272009697,-0.0045695931492417685,-0.08453722606884584
2024-04-12,-0.018168470936653525,-0.019374074043772893,-0.09016171588173783
2024-04-15,-0.034320572880200295,-0.03358289875804321,-0.10264390286637026
2024-04-16,-0.03423099641514482,-0.0344193573147169,-0.10600839735661671
2024-04-17,-0.04601465598144816,-0.0431673072089338,-0.10521403180811395
2024-04-18,-0.05145843064521516,-0.04688176864620475,-0.10812275676230254
2024-04-19,-0.07108300296252101,-0.06090095452131861,-0.11150844415367689
2024-04-22,-0.06174120059833821,-0.05185470528359026,-0.10719701145849525
2024-04-23,-0.04773962499255313,-0.03915448533905652,-0.10071993237485011
2024-04-24,-0.04451376636826798,-0.03775508615218415,-0.10352146748314428
2024-04-25,-0.04912854402441391,-0.041906507170883844,-0.10807977921337919
2024-04-26,-0.03445500669542645,-0.02997555068185198,-0.10114021193255984
2024-04-29,-0.030534515761103775,-0.026288604257967196,-0.09621499514295606
2024-04-30,-0.04881495727907659,-0.0431812423912461,-0.10789308698963385
2024-05-01,-0.055692646560160486,-0.0481938925249914,-0.10700083611200029
2024-05-02,-0.04364005024576201,-0.03766839523692411,-0.1004565376698785
2024-05-03,-0.024418710256492004,-0.022033552069473217,-0.09012542753650021
2024-05-06,-0.013732846210618876,-0.011627838302235682,-0.08306993239957661
2024-05-07,-0.0135759491614863,-0.011003951472759899,-0.08022621375328631
2024-05-08,-0.014158403537275932,-0.011248171213881775,-0.08240293284083411
2024-05-09,-0.012007808081871518,-0.007321200558215835,-0.07744006895403377
